RefDes;Layer;LocationX;LocationY;Rotation
U1;Top;12.475;26.350;0
U2;Top;12.475;22.550;0
U3;Top;12.475;18.750;0
C1;Top;8.250;13.200;90
C3;Top;15.550;13.200;90
C2;Top;10.150;13.200;90
C4;Top;17.450;13.200;90
C5;Top;2.550;8.100;90
R1;Top;2.700;33.200;0
R2;Top;23.200;39.450;90
LDO;Top;12.700;12.750;90
D1;Top;2.750;31.100;180
J1;Top;12.750;4.100;270
